FreeSpace,isFreeSpace
Attend a HacKSU meeting,false
Attend KHE,false
Staff at KHE,false
Join the CS Discord,false
See us at Blastoff!, false
Attend the CS career fair,false
Participate in Kent Hack It (CTF),false
Attend a HacKSU Game Tournament,false
Demo your project at the Beginning of a Meeting,false
Represent HacKSU at another Hackathon,false
Attend a CS Seminar,false
Participate in Kent Code Quick,false
Contribute to a lesson's repository,false
Fork a hacksu repository,false
Recruit a friend to join HacKSU,false
Attend a HacKSU speaker event,false
Build something cool from a lesson,false
Apply for a HacKSU leadership position,false
Follow HacKSU on instagram,false
Follow HacKSU on LinkedIn,false
Wear HacKSU merch to a meeting,false
Star a HacKSU repo on GitHub,false
Submit a lesson idea to HacKSU,false
Bring a friend to a HacKSU meeting,false
Teach a HacKSU lesson,false
Contribute to the core HacKSU websites,false